"inj number"	"Name"	"samplenumber"	"weight (mg)"	"color"	"variety"	"location"	"year"	"species"	"preparation method"	"stage"	"plant"	"3-OH-benzaldehyde"	"anthranilic acid"	"4-aminobenzoic acid"	"p-hydroxybenzoic acid"	"Cinnamic acid"	"vanillin"	"acetovanillone"	"vanillic acid"	"benzoic acid"	"gallic acid"	"2,6-diOH-benzoic acid"	"2,5-diOH-benzoic acid"	"protocatechuic acid"	"methyl gallate"	"syringaldehyde"	"syringic acid"	"methyl anthranilate"	"ellagic acid"	"umbelliferone"	"esculetin"	"daphnetin"	"scopoletin"	"esculin"	"fraxin"	"p-coumaric acid"	"m-coumaric acid"	"caffeic acid"	"ferulic acid"	"sinapic acid"	"caftaric acid"	"neochlorogenic acid"	"cryptochlorogenic acid"	"chlorogenic acid"	"1,3-dicaffeoylquinic acid"	"coniferyl alcohol"	"sinapyl alcohol"	"fertaric acid"	"t-coutaric acid"	"raspberry ketone"	"cis-resveratrol"	"trans-piceid"	"cis-piceid"	"astringin"	"isorhapontin"	"phloretin"	"phlorizin"	"trilobatin"	"morin"	"luteolin"	"luteolin-7-O-Glc"	"orientin"	"apigenin-7-glc"	"naringenin"	"naringenin-7-glucoside"	"hesperitin"	"catechin"	"epicatechin"	"epigallocatechin"	"gallocatechin"	"epicatechin gallate"	"procyanidin A2"	"procyanidin B1"	"procyanidin B2 + B4"	"procyanidin B3"	"kaempferol "	"quercetin"	"taxifolin"	"isorhamnetin"	"myricetin"	"laricitrin"	"syringetin"	"quercetin-3-sulfate"	"quercetin-3-Rha"	"kaempferol-3-Glc"	"myricitrin"	"quercetin-3-Glc"	"quercetin-3-Gal"	"quercetin-4-Glc"	"isorhamnetin-3-Glc"	"quercetin-3-Glc acetyl"	"syringetin-3-Glc+syringetin-3-Gal"	"kaempferol-3-rutinoside"	"quercetin-3-Glc-Ara"	"rutin"	"isorhamnetin-3-rutinoside"	"quercetin-3,4-diglucoside"	"robinin"	"dihydrokaempferol"	"quercetin-3-glucuronide"	" kaempferol-3-glucuronide"
84	"SR-BP-stg5-Plant2"	85	200	"R"	"SR"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	2	0.0000	0.3850	0.0330	0.0000	0.8840	0.1140	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	131.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9120	0.0000	1.2880	0.5810	0.8990	0.0000	0.0000	0.0000	0.0000	0.0000	3.5340	2.5560	0.0000	0.1770	2.6480	0.0000	0.1240	0.0630	0.0000	0.0000	0.0000	0.4140	0.1880	0.0000	0.0000	0.0000	0.0000	0.0000	0.2690	0.0000	0.0000	45.7680	403.5880	0.0000	0.2210	0.4270	0.0000	1.5290	752.7740	219.4160	0.0000	2.0110	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.4720	0.0000	9.1180	64.8200	0.0000	0.1850	0.0000	0.0000	0.5360	0.0000	10.5560	0.0000	3.2710	0.0000	0.0000	56.8950	4.8350
27	"SR-BP-stg5-Plant3"	86	230	"R"	"SR"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	3	0.0000	1.3017	0.0539	1.5730	1.2539	0.1383	0.0000	0.1417	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	132.6957	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5078	0.0000	1.7374	0.7522	1.3452	0.0000	0.0000	0.0000	0.0000	0.0000	1.3678	0.8409	0.0000	0.0000	5.9304	0.0000	0.1122	0.3183	0.0000	0.0000	0.0000	0.4304	0.4748	0.0000	0.0000	0.0000	0.0000	0.0426	0.1791	0.0000	0.0000	31.8748	323.6522	0.0000	0.0000	0.4600	0.0000	3.0730	705.9087	174.7122	0.0000	1.8965	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6678	0.0000	6.1843	42.8783	0.1000	0.0000	0.0000	0.0000	0.1652	0.0000	12.6496	0.1357	3.8478	0.0000	0.2252	42.8904	2.4191
147	"SR-BP-stg5-Plant4"	87	250	"R"	"SR"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	4	0.0000	0.0464	0.1096	0.0000	0.3712	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	117.4416	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2776	0.0000	0.9256	0.2600	0.9000	17.0328	0.0000	0.0000	0.0000	0.0000	9.1816	3.6720	0.0000	0.0000	5.4416	0.0000	0.1376	0.1136	0.0000	0.0000	0.0000	0.3768	0.1480	0.0000	0.0000	0.0000	0.0000	0.0000	0.1192	0.0000	0.0000	46.1408	367.0432	0.0000	0.0000	0.3232	0.0000	1.9120	696.8488	209.0776	0.0000	1.8208	0.1680	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5248	0.0000	1.7784	9.3416	0.0000	0.0568	0.0000	0.0000	0.0000	0.1592	1.9544	0.0000	2.3944	0.0000	0.0000	6.6840	0.3720
82	"T-BP-stg5-Plant1"	64	150	"R"	"T"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	1	0.0000	0.0000	0.0640	0.0000	0.3040	0.2773	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	297.6067	0.0000	0.0000	0.0947	0.0000	0.0000	0.0000	2.0373	0.0000	0.9760	0.8827	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8507	0.2960	0.0000	0.0000	2.6853	0.0000	0.2507	0.0867	0.0000	0.0000	0.0000	0.3627	0.2667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0187	0.0000	0.0000	20.8413	319.4013	0.0000	0.0000	0.4520	0.0000	2.3347	470.0747	98.3693	0.0000	0.8893	0.1373	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6587	5.1933	0.0000	0.1600	0.0000	0.0000	0.0000	0.1373	2.0813	0.0000	7.0600	0.0000	0.0000	0.6280	0.0000
112	"T-BP-stg5-Plant2"	65	180	"R"	"T"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	2	0.0000	0.0000	0.1278	0.0000	0.6656	0.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	240.3111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1422	0.0000	1.4067	2.1789	1.3233	0.0000	0.0000	0.0000	0.0000	0.0000	1.1400	2.0044	0.0000	0.0000	2.1278	0.0000	0.3011	0.0800	0.0000	0.0000	0.0000	0.2644	0.3300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0344	0.0000	0.0000	20.2767	294.5111	0.0000	0.0000	0.2133	0.0000	0.7000	491.4333	114.9856	0.0000	0.8211	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2544	3.6356	0.0000	0.0000	0.0000	0.0000	0.0900	0.1211	2.1111	0.0000	7.1589	0.0000	0.0000	0.8267	0.2589
189	"T-BP-stg5-Plant3"	66	220	"R"	"T"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	3	0.0000	0.0000	0.4691	1.7600	2.8827	0.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	384.7973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5218	0.0000	2.3355	2.5236	1.0818	0.0000	0.0000	0.0000	0.0000	0.0000	0.6882	0.3345	0.0000	0.0000	4.0027	0.0000	0.1909	0.1091	0.0000	0.0000	0.0000	0.3864	0.2845	0.0000	0.0000	0.0000	0.0000	0.0000	0.0427	0.0000	0.0000	23.0618	192.9218	0.0000	0.0000	0.2636	0.0000	1.4891	432.0882	143.5791	0.0000	1.2236	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7145	0.0000	2.9364	19.0900	0.0000	0.0000	0.0000	0.0000	0.0000	0.1327	4.3964	0.0000	14.1700	0.0000	0.0000	5.1918	0.1473
100	"T-BP-stg5-Plant4"	67	180	"R"	"T"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	4	0.0000	0.0000	0.1033	0.0000	0.3544	0.2144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	189.4400	0.0000	0.0000	0.0744	0.0000	0.0000	0.0000	1.7444	0.0000	0.9189	0.7044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4911	0.7367	0.0000	0.1133	3.2367	0.0000	0.2478	0.1322	0.0000	0.0000	0.0000	0.2478	0.1667	0.0000	0.0000	0.0000	0.0000	0.0000	0.1933	0.0000	0.0000	27.2467	451.9622	0.0000	0.0000	0.5456	0.0000	1.9111	597.8633	116.8544	0.0000	2.0300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5922	0.0000	4.1578	38.8078	0.0000	0.0733	0.0000	0.0000	0.0000	0.0000	8.2300	0.0000	11.2644	0.0000	0.0000	23.4489	1.2256
138	"T-BP-stg5-Plant5"	68	260	"R"	"T"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	5	0.0000	0.2977	0.0000	0.0000	0.0762	0.1054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	84.5131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.8962	0.0000	2.1708	1.2385	0.8215	0.0000	0.0000	0.0000	1.7123	0.0000	1.0323	1.1531	0.0000	0.0831	4.0254	0.0000	0.0831	0.1685	0.0000	0.0000	0.0000	0.3423	0.4408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0738	0.0000	0.0000	22.3785	233.3985	0.0000	0.0000	0.2785	0.0000	1.0323	425.8185	116.6977	0.3585	1.2823	0.0969	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.7238	42.9562	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.4423	0.0000	5.7715	0.0000	0.0000	42.5462	2.8277
67	"T-BP-stg5-Plant9"	69	150	"R"	"T"	"Berry plant"	2011	"Rubus"	"Acetone2011october"	5	"BP9"	0.0000	0.0000	0.0640	0.6973	3.7587	0.2227	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	276.6093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7720	0.0000	1.5000	0.2533	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6187	0.2760	0.0000	0.1800	0.8040	0.0000	0.0680	0.0000	0.0000	0.0000	0.0000	0.1413	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5187	0.0000	0.0000	14.2600	337.1973	0.0000	0.0000	0.5400	0.0000	0.0000	430.2107	55.7840	0.0000	0.8387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.3653	0.0000	12.1213	64.8653	0.0000	0.1733	0.0000	0.0000	0.3573	0.0000	4.4747	0.0000	2.9253	0.0000	0.1507	42.3507	3.0240
160	"T-VG-stg5-Plant7"	62	230	"R"	"T"	"vigalzano "	2011	"Rubus"	"Acetone2011october"	5	7	0.0000	0.0000	0.1948	0.0000	0.5243	0.1687	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	131.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4896	0.0000	2.6400	1.0304	0.0000	18.4452	0.0000	0.0000	0.0000	0.0000	2.4496	1.5304	0.0000	0.0000	3.6800	0.0000	0.2739	0.1200	0.0000	0.0000	0.0000	0.3148	0.2043	0.0000	0.0000	0.0000	0.0000	0.0000	0.1443	0.0000	0.0000	56.0104	353.1713	0.0000	0.0000	0.3209	0.0000	3.2043	482.6835	176.8626	0.0000	2.4478	0.5478	0.0000	0.4991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.2165	13.9765	0.0504	0.1565	0.0000	0.0000	0.0000	0.1035	9.9330	0.0000	7.6948	0.0000	0.0000	4.2826	0.1852
